-36,59,29
-34,56,29
-33,54,30
-34,48,28
-34,46,26
-32,43,25
-29,43,24
-29,43,25
-25,50,42
-37,65,51
-50,70,68
-51,60,81
-60,51,82
-67,32,57
-48,21,34
-44,17,27
-44,12,22
-43,10,17
-33,13,14
-51,30,8
-53,38,11
-52,41,20
-55,30,17
-55,24,16
-49,14,19
-52,12,20
-55,9,22
-54,8,30
-59,10,32
-61,12,35
-61,4,37
-61,-4,36
-48,-15,37
-48,-14,35
-56,0,27
-65,10,26
-63,8,28
-54,1,32
-54,-3,33
-54,-6,34
-60,1,35
-61,4,36
-53,-7,33
-48,-18,34
-61,-5,40
-59,21,34
-73,18,30
-61,5,34
-56,1,33
-58,4,32
-59,11,30
-64,8,30
-66,8,28
-66,5,29
-71,5,31
-73,5,29
-68,-1,36
-61,-5,41
-50,-8,52
-30,-13,62
-27,-19,52
-28,-26,36
-14,-29,38
-8,-35,40
-3,-39,48
-24,-30,61
-49,-23,57
-53,-18,56
-72,-16,47
-53,-24,33
-37,-28,26
-30,-34,16
-30,-38,14
-84,-17,30
-58,-7,33
-53,-18,35
-53,-34,33
-30,-36,22
-12,-37,19
-38,-33,26
-62,-16,34
-54,-13,38
-72,-17,38
-67,-20,37
-50,-23,32
-26,-27,24
-15,-28,22
-24,-16,25
-50,-4,33
-38,0,37
-70,13,31
-67,15,32
-37,17,42
-39,24,57
-42,24,56
-36,24,52
-40,26,51
-40,32,48
-40,37,45
-39,42,45
-29,44,47
-23,45,44
-22,48,41
-30,55,36
-37,57,35
-46,58,31
-46,56,29
-42,55,30
-36,54,31
-32,55,26
-33,55,25
-34,56,26
-34,55,26
-35,55,25
-33,54,25
-32,54,24
-33,54,22
-33,54,22
-30,54,21
-28,56,21
-27,55,21
-27,53,21
-27,51,21
-27,50,21
-28,48,20
-28,47,19
-29,46,19
-31,48,20
-32,51,22
